time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
"2017-04-24T07:13:25.177Z,61.0881,-151.2373,80.3,2.7,ml,,,,0.58,ak,ak15806044,2017-04-24T07:25:51.623Z,""44km N of Nikiski, Alaska"",earthquake,,0.4,,,automatic,ak,ak"
"2017-04-24T06:13:51.650Z,-0.0997,125.2117,60.68,5.3,mb,,44,2.322,1.07,us,us10008k7d,2017-04-24T06:33:30.040Z,""128km SE of Modayag, Indonesia"",earthquake,7.1,6.3,0.043,185,reviewed,us,us"
"2017-04-24T03:54:10.510Z,-33.1072,-72.1349,19.79,4.5,mwr,,70,0.426,0.7,us,us10008k6u,2017-04-24T04:40:12.896Z,""47km W of Valparaiso, Chile"",earthquake,3.7,4,0.036,75,reviewed,us,us"
"2017-04-24T03:50:50.520Z,-33.074,-72.1341,18.74,4.3,mwr,,138,0.42,0.76,us,us10008k6g,2017-04-24T04:44:50.051Z,""47km W of Valparaiso, Chile"",earthquake,4.2,4.1,0.036,73,reviewed,us,us"
"2017-04-24T03:25:10.250Z,59.2858,-154.0354,131,2.7,ml,,,,0.76,ak,ak15805271,2017-04-24T03:34:47.368Z,""71km SE of Old Iliamna, Alaska"",earthquake,,0.5,,,automatic,ak,ak"
"2017-04-24T03:24:02.610Z,10.8445,-86.4606,20.23,4.9,mb,,158,0.86,1.26,us,us10008k6d,2017-04-24T03:57:37.611Z,""78km SW of San Juan del Sur, Nicaragua"",earthquake,5,6,0.029,380,reviewed,us,us"
"2017-04-24T02:15:36.790Z,-16.2262,-72.2086,146.81,4.1,mb,,141,2.78,0.8,us,us10008k60,2017-04-24T02:57:41.040Z,""31km SW of Lluta, Peru"",earthquake,10.9,16,0.262,4,reviewed,us,us"
"2017-04-24T01:19:40.910Z,-33.1035,-72.0959,19.56,4,mwr,,137,0.393,0.63,us,us10008k5g,2017-04-24T04:14:49.096Z,""44km W of Valparaiso, Chile"",earthquake,2.1,4.3,0.039,63,reviewed,us,us"
"2017-04-23T21:42:14.048Z,59.9603,-146.68,14.2,3,ml,,,,0.78,ak,ak15803599,2017-04-23T21:50:48.925Z,""61km NNW of Middleton Island, Alaska"",earthquake,,0.5,,,automatic,ak,ak"
"2017-04-23T19:40:09.840Z,-33.0437,-72.1484,15.96,5.6,mww,,69,0.429,0.94,us,us10008k2i,2017-04-24T04:06:13.653Z,""48km W of Valparaiso, Chile"",earthquake,4.9,4.3,0.069,20,reviewed,us,us"
"2017-04-23T18:56:01.680Z,34.4235,-119.6438333,10.93,3.12,ml,75,56,0.06123,0.26,ci,ci37865288,2017-04-24T07:19:34.935Z,""2km SW of Montecito, CA"",earthquake,0.22,0.41,0.121,283,reviewed,ci,ci"
"2017-04-23T18:01:15.450Z,-7.7779,108.0156,97.7,5.1,mb,,45,2.487,1.25,us,us10008k20,2017-04-24T03:20:38.550Z,""3km S of Cipatujah Selatan, Indonesia"",earthquake,8,6.7,0.067,73,reviewed,us,us"
"2017-04-23T17:55:55.630Z,34.4165001,-119.6463318,12.87,3.55,mlr,61,62,,0.29,ci,ci37865280,2017-04-24T06:12:06.392Z,""3km SSW of Montecito, CA"",earthquake,0.35,0.6,0.301,20,reviewed,ci,ci"
"2017-04-23T16:39:53.390Z,-34.9952,-111.0851,10,4.7,mb,,187,38.856,0.56,us,us10008k1r,2017-04-23T18:45:51.040Z,""Southern East Pacific Rise"",earthquake,20.8,2,0.061,80,reviewed,us,us"
"2017-04-23T16:12:53.440Z,-32.9633,-71.9895,21.28,4.1,mwr,,69,0.301,0.83,us,us10008k1k,2017-04-24T00:40:38.080Z,""34km WNW of Valparaiso, Chile"",earthquake,4.8,4.9,0.037,69,reviewed,us,us"
"2017-04-23T15:51:31.270Z,13.6769,-89.1965,10,3.3,ml,,171,0.035,0.8,us,us10008k4n,2017-04-24T04:48:27.158Z,""1km SW of San Salvador, El Salvador"",earthquake,3.3,2,0.088,17,reviewed,us,us"
"2017-04-23T13:21:03.690Z,-23.7031,-179.9352,528.3,4.7,mb,,107,6.22,0.94,us,us10008k0t,2017-04-23T14:04:43.040Z,""South of the Fiji Islands"",earthquake,10.5,7.1,0.072,58,reviewed,us,us"
